,IF_single_elderly,income_percap,TVtime_codes,IF_existChildren,NumPC_list,IF_singleAE,income,NumWaterHeater_list,NumVehicle_codes,Cookingtime_codes,NumDryer_list,NumWashMach_list,NumCookingEquip_list,IF_coupleWithChildren,resident_codes,raw_income,percapita_en_total_no_vehicle,size,Reno_OtherHeatInsu_codes,IF_existElderly,IF_singleA,SummerSunshine_codes,GlassType_codes,IF_coupleA,elderNumber,resident,demographicType,NumTV_list,live_days,IF_grandparentKids,childrenNumber,NumAC_list,Reno_WindowGap_codes,ages_mean,IF_couple_elderly,gender_codes,HouseAge_codes,job,WinterSunshine_codes,WindowFrame_codes,Reno_WindowGlass_codes,IF_singleWithChildren,Reno_Wall_codes,IF_bigFamily,Weektime_list,cluster
3598,0,10000.0,4.0,1,0,0,3,0,1,2.0,0,1,2,0,1.0,30000.0,65.60005683333334,3,6.0,0,0,8.0,0.0,0,0,0,7,1,7,0,1,0,6.0,28.16666667,0,1,7.0,2,6.0,0.0,6.0,0,6.0,1,7,1
3599,0,15000.0,5.0,0,0,0,3,0,1,1.0,0,1,4,0,1.0,30000.0,261.7130746,2,6.0,0,0,7.0,0.0,0,0,0,9,2,7,0,0,0,6.0,35.5,0,1,7.0,2,5.0,0.0,6.0,0,6.0,0,7,1
3600,0,10000.0,3.0,1,1,0,3,1,1,2.0,0,1,5,0,1.0,50000.0,93.0129084,5,6.0,0,0,7.0,1.0,0,0,0,7,1,7,0,1,0,6.0,32.2,0,0,6.0,1,7.0,1.0,6.0,0,6.0,1,7,1
3602,0,12000.0,3.0,0,0,1,2,0,1,2.0,0,1,2,0,1.0,12000.0,197.367944,1,6.0,0,1,8.0,0.0,0,0,0,0,1,7,0,0,0,6.0,41.0,0,1,5.0,2,4.0,2.0,6.0,0,6.0,0,7,1
3605,0,11666.66667,1.0,0,0,0,3,1,0,3.0,0,1,1,0,1.0,35000.0,194.46106446666667,3,6.0,1,0,8.0,0.0,0,1,0,8,1,7,0,0,0,6.0,52.33333333,0,0,7.0,0,6.0,0.0,6.0,0,6.0,0,7,1
3606,0,6666.666667,3.0,0,0,0,2,0,0,3.0,0,1,1,0,1.0,20000.0,75.49056553333334,3,0.0,1,0,7.0,0.0,0,2,0,6,1,7,0,0,0,3.0,58.5,1,0,2.0,1,5.0,0.0,3.0,0,4.0,0,7,1
3607,0,20000.0,3.0,0,0,0,4,0,0,2.0,0,1,3,0,1.0,80000.0,55.189160675,4,6.0,1,0,5.0,0.0,0,2,0,8,1,7,0,0,0,6.0,51.75,0,1,5.0,2,3.0,1.0,6.0,0,6.0,0,7,1
3609,0,11500.0,1.0,0,0,0,2,0,0,2.0,0,1,2,0,1.0,23000.0,86.4712485,2,6.0,1,0,8.0,0.0,0,2,0,8,1,7,0,0,0,6.0,59.0,0,0,3.0,0,3.0,1.0,6.0,0,6.0,0,7,1
3612,0,8333.333333,2.0,0,0,0,3,0,1,2.0,0,1,1,0,1.0,50000.0,9.828062038333334,6,6.0,1,0,8.0,0.0,0,1,0,6,1,7,0,0,0,6.0,58.5,1,0,5.0,2,8.0,0.0,6.0,0,6.0,0,7,1
3613,1,8000.0,2.0,0,0,1,1,0,0,3.0,0,0,1,0,1.0,8000.0,167.58651,1,6.0,1,0,6.0,0.0,0,1,0,5,1,7,0,0,0,6.0,61.0,0,1,3.0,1,3.0,1.0,6.0,0,6.0,0,7,1
