,id,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating
179,1228,0.0,,335.497526,14.85886253,0.0,4.47356,24.60458,120.78612,0.0,
180,1243,0.0,5.368272,95.1375425,14.85886253,794.5714286,6.262984,2.23678,26.84136,0.0,143.052
181,1248,0.0,5.368272,265.356,25.91647858,353.4906122,0.0,12.7943816,247.16419,0.0,357.63
182,1253,0.0,90.030395,202.35707916700002,14.80941633,106.1856,48.9295625,5.815628,211.37571000000003,0.0,55.9195
183,1254,24.1959375,44.511922,,4.351291336,525.5102041,0.0,5.815628,,0.0,280.852279
184,1258,,,49.806241334,11.88709003,1621.574344,,4.026204,,0.0,139.79875
185,1260,3.9174375,20.578376,513.022965,31.90946979,2162.099125,21.84,8.8576488,,0.0,312.0580878
186,1268,0.0,28.630784,44.226,0.0,406.6071429,0.0,12.7943816,,0.0,214.578
187,1273,0.0,38.02526,796.068,31.90946979,756.7346939,10.736544,4.026204,46.97238,0.0,312.0580878
188,1275,23.69185547,,121.88631,0.0,0.0,8.62758,19.555847999999997,28.7586,0.0,153.0051044
189,1282,,12.749646,136.480526,14.80941633,464.6938776,4.47356,40.709396,40.26204,2833.0225,239.608238
190,1311,2.406791667,19.555848,94.52722499999999,24.65087795,878.2714286,0.766896,6.518616,38.3448,0.0,183.924
191,1313,13.549724999999999,4.585399,384.95832375,14.80941633,1135.102041,7.474133333,20.13102,,993.3975,484.4464163
192,1350,0.0,8.94712,401.3684675,22.33662886,0.0,16.77585,4.026204,57.03789,3642.4575,357.63
193,1352,3.9174375,7.157696,58.205875,0.0,585.5142857,0.0,28.0939568,,0.0,355.7025756
194,1354,32.40527344,,91.502775,12.76378792,1115.816327,26.84136,20.13102,301.9653,0.0,214.578
195,1364,0.0,31.874115,250.580936667,29.71772507,344.3877551,9.965511111,24.60458,,0.0,143.052
196,1385,8.64140625,15.210104,44.226,29.71772506,585.5142857,,53.1458928,,0.0,218.4406615
197,1391,3.024492188,,199.017,14.80941633,840.8163265,6.4064,8.8576488,,0.0,312.0580878
198,1393,,66.432366,126.22246,15.9547349,1075.434402,10.67733333,31.31492,,0.0,248.9918029
199,1397,0.0,68.445468,316.29233999999997,31.90946979,387.244898,4.671333333,21.473088,,0.0,357.63
200,1401,,,108.023825,14.80941633,580.8673469,10.67733333,4.920916,,0.0,214.578
201,1453,,,221.13,31.90946979,0.0,4.270933333,46.077667999999996,,0.0,248.9918029
202,1456,5.040820313,,132.678,25.33423562,1261.22449,,0.894712,,0.0,
203,1462,0.0,5.368272,113.363249997,12.76378792,340.5306122,7.455933333,8.8576488,20.13102,0.0,139.79875
204,1477,,121.680832,,,382.6530612,,71.57696,,0.0,139.79875
205,1492,17.13878906,28.854461999999998,94.983525,46.71888612,1986.428571,11.1839,20.13102,,2980.1925,312.0580878
206,1493,0.0,,90.164316667,18.51177041,746.8294461,13.979875,2.23678,60.39306,0.0,312.0580878
207,1498,24.48398438,22.815156,134.05119,14.85886253,808.1632653,1.342068,44.288244,80.52408,0.0,335.517
208,1539,7.3833191629999995,8.94712,149.919845833,31.90946979,1992.857143,,20.13102,33.5517,2980.1925,218.4406615
209,1544,0.0,19.124469,137.592758333,11.88709003,728.8629738,2.982373333,8.8576488,,0.0,312.0580878
210,1552,0.0,,269.826564583,12.76378792,382.6530612,13.04788333,4.026204,,0.0,55.9195
211,1553,,,63.269266667,11.88709003,929.3877551,9.506315,4.026204,171.11367,0.0,312.0580878
212,1554,5.693161764,60.169382,132.678,31.9094698,1129.95,10.615385083000001,8.8576488,120.78612,0.0,248.9918029
213,1558,9.678375,,368.29747499999996,15.9547349,1518.367347,6.262984,13.6890936,60.39306,0.0,335.517
214,1559,4.536738281,38.02526,149.96345,14.80941633,1032.653061,6.71034,2.23678,,0.0,312.0580878
215,1573,17.13878906,1.006551,66.34036499999999,31.90946979,455.5393586,6.337543333,4.026204,55.9195,0.0,55.9195
216,1580,9.2175,,331.54621499999996,12.76378792,297.9642857,5.368272,12.7943816,,0.0,139.79875
217,1585,,8.94712,357.11357499999997,0.0,637.755102,0.0,4.026204,,0.0,357.63
218,1589,5.4844125,26.84136,132.678,28.74213477,1518.367347,3.2032,13.6890936,,0.0,312.0580878
219,1590,2.74220625,,199.017,29.71772507,1032.653061,12.012,4.920916,,0.0,312.0580878
220,1603,2.016328125,,199.017,0.0,585.5142857,2.002,2.23678,,0.0,214.578
221,1605,0.0,28.630784,199.017,11.88709003,840.8163265,3.2032,12.7943816,,0.0,297.5099252
222,1607,2.88046875,,132.678,37.02354082,953.4857143,4.47356,4.920916,80.52408,0.0,355.7025756
223,1613,0.0,,597.448761,12.76378792,340.5306122,2.982373333,4.920916,33.5517,0.0,83.87925
224,1624,4.536738281,66.432366,507.7842315,0.0,585.5142857,0.0,29.07814,,0.0,312.0580878
225,1626,29.45262353,,161.84805,31.90946979,1194.927114,10.67733333,0.894712,107.36544,0.0,357.63
226,1634,0.0,,50.32755,,1138.77551,,20.13102,44.7356,0.0,
227,1636,0.0,28.183428000000003,339.77853,31.90946979,375.3644315,1.109070083,8.8576488,95.06315,0.0,139.79875
228,1638,10.16636029,,569.2220625,15.9547349,2493.760933,4.175322667,21.473088,20.13102,0.0,335.517
229,1642,7.040543382000001,,152.249825,37.02354082,953.4857143,10.06551,11.1839,89.4712,0.0,248.9918029
230,1645,0.0,1.677585,1077.0814599999999,31.90946979,1194.927114,2.135466667,22.3678,,0.0,143.052
231,1655,16.94393382,,205.72734,15.9547349,307.4693878,0.69899375,53.1458928,60.39306,0.0,218.4406615
232,1660,,69.899375,154.791,0.0,756.7346939,0.0,8.8576488,,0.0,139.79875
233,1665,0.0,15.210104,575.4476,12.76378792,2586.122449,57.03789,8.8576488,120.78612,0.0,312.0580878
234,1679,0.0,68.445468,139.83569599999998,37.02354082,484.8979592,3.131492,29.07814,20.13102,0.0,355.7025756
235,1681,,5.368272,338.40533999999997,31.90946979,382.6530612,,8.94712,33.5517,0.0,
236,1692,0.0,18.788952,113.615775,15.9547349,375.3644315,9.319916667,8.8576488,95.06315,993.3975,
237,1701,4.113309375,14.762748,132.678,29.71772507,2207.142857,7.118222222,8.8576488,,0.0,214.578
238,1706,34.27757813,15.210104,227.84034,15.9547349,484.8979592,0.0,28.9886688,174.46884,0.0,268.4136
