id,province,prefecture,county,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating,en_total,en_total_no_vehicle,prefecture_eng,en_total_percap,region
14189,广西壮族自治区,柳州市,三江侗族自治县,-1,63,3,0,4,1,-99,2,4,4,0,7,-99,3,-99,7,3333332.667,4,-99,2.214,46.875,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,614.438825,0,0,0,4.026204,0,0,0,618.465029,618.465029,Liuzhou,206.1550097,1
14191,广西壮族自治区,柳州市,三江侗族自治县,1,65,3,0,4,1,2,-99,2,3,1,1,7000,1,4160,7,7000,2,-99,1.55,22.5,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.381893959,0,3.559111111,53.1458928,0,0,0,63.08689787,63.08689787,Liuzhou,63.08689787,1
14196,广西壮族自治区,玉林市,玉州区,1,29,3,0,5,1,-99,2,3,3,2,7,-99,2,-99,7,4999999,2,-99,2,30,1,2,15,-99,1,1,3333.333,330,-99,3,-99,-99,-99,1,2.75,7,-99,10000,1,2.25,0,9,0,0,1,0,1,0,0,0,0,0,0,19.124469,241.802015,11.88709003,0,0,9.841832,0,2980.1925,280.80234,3543.650246,563.457746,Yulin,1771.825123,1
14197,广西壮族自治区,柳州市,三江侗族自治县,1,52,5,0,4,2,-99,2,4,4,1,7,-99,2,7000,7,4999999,5,1250,1.55,18.75,1,1,52.5,-99,1,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,101.7095246,0,0,0,55.024788,0,0,195.71825,352.4525626,352.4525626,Liuzhou,176.2262813,1
14198,广西壮族自治区,崇左市,大新县,1,65,3,1,4,1,-99,2,4,5,1,3,40000,5,40000,7,8000,6,600,2.75,18.75,1,3,15,-99,1,3.5,2666.667,390,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13102,0,0,0,26.84136,0,0,399.3470634,446.3194434,446.3194434,Chongzuo,89.26388868,1
14208,广西壮族自治区,柳州市,三江侗族自治县,-1,56,3,0,4,2,3,2,4,4,2,2,20000,1,-99,7,20000,3,-99,2.667,35,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,507.7842315,0,0,0,7.605052,0,0,0,515.3892835,515.3892835,Liuzhou,515.3892835,1
14209,广西壮族自治区,崇左市,大新县,1,62,3,0,4,1,5,1,5,4,1,7,-99,5,-99,7,1999999.6,4,-99,1.857,56.25,1,3,22.5,1,1,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,805.443912,12.76378792,0,5.59195,0,0,0,399.3470634,1223.146713,1223.146713,Chongzuo,244.6293427,1
14220,广西壮族自治区,柳州市,柳北区,1,70,3,1,5,2,3,-99,4,4,0,4,80000,2,-99,7,40000,4,-99,1.5,28.125,1,0.857,22.5,1,1,1,2666.667,60,1,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0.067210938,0,154.791,12.76378792,0,0,4.920916,0,0,297.5099252,469.9856291,470.0528401,Liuzhou,234.9928146,1
14221,广西壮族自治区,柳州市,柳北区,-1,49,2,1,4,3,2,-99,4,4,0,3,50000,4,20000,7,12500,3,925,2.333,25,1,3,15,5,1,2.5,2816.667,82.5,3,3,-99,-99,-99,1,-99,-99,6,-99,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.551609766,68.445468,145.55177,25.52757584,0,10.06551,11.1839,171.11367,0,143.052,574.9398938,575.4915036,Liuzhou,143.7349735,1
14229,广西壮族自治区,柳州市,三江侗族自治县,-1,41,4,0,4,2,3,-99,2,4,1,0,2000,3,-99,7,666.6666667,2,-99,3,22.5,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,201.08907,0,0,0,2.9525496,0,0,0,204.0416196,204.0416196,Liuzhou,68.0138732,1
